epoch, reward, loss
476, -0.04, 1.2621
477, -0.12, 1.2624
478, -0.31, 1.2625
479, -0.02, 1.2786
480, -1.52, 1.2642
481, -0.17, 1.2725
482, 0.09, 1.2590
483, 0.22, 1.2576
484, 1.14, 1.2786
485, -0.47, 1.2685
486, -0.09, 1.2664
487, -0.58, 1.2816
488, 0.46, 1.2703
489, 0.84, 1.3011
490, 0.35, 1.2691
491, 1.27, 1.2723
492, -0.03, 1.2651
493, -0.70, 1.2641
494, 1.23, 1.2722
495, -0.65, 1.2768
496, 0.69, 1.2713
497, 0.45, 1.2912
498, -0.15, 1.2917
499, -0.40, 1.2691
500, -0.04, 1.2814
501, 0.24, 1.2750
502, 0.37, 1.2704
503, -0.09, 1.2733
504, 1.26, 1.3020
505, -0.15, 1.2801
506, 0.04, 1.2737
507, 0.73, 1.2846
508, 0.65, 1.2806
509, -0.64, 1.2976
510, 0.14, 1.2829
511, 0.81, 1.2851
512, 0.09, 1.3063
513, 2.01, 1.3045
514, -0.13, 1.2982
515, -0.09, 1.2783
516, 0.52, 1.3046
517, -0.53, 1.3113
518, 0.70, 1.2854
519, 0.32, 1.3007
520, -0.46, 1.2967
521, 1.23, 1.2902
522, 0.93, 1.3125
523, 0.39, 1.3090
524, -0.99, 1.3011
525, -2.27, 1.3079
526, 2.50, 1.3156
527, 0.96, 1.3003
528, 0.48, 1.2996
529, 0.95, 1.3099
530, 0.40, 1.3040
531, 0.34, 1.3115
532, 0.86, 1.3007
533, -0.14, 1.3257
534, 0.10, 1.3066
535, 0.22, 1.3327
536, 1.36, 1.3150
537, 0.74, 1.3273
538, 0.20, 1.3256
539, -0.08, 1.3298
540, 0.92, 1.3401
541, 1.84, 1.3187
542, -0.08, 1.3285
543, 0.56, 1.3280
544, 1.15, 1.3515
545, -1.24, 1.3398
546, 0.76, 1.3324
547, 0.28, 1.3310
548, 1.63, 1.3334
549, -0.23, 1.3561
550, 0.38, 1.3391
551, -0.37, 1.3437
552, 0.53, 1.3422
553, 1.79, 1.3415
554, 0.08, 1.3689
555, 1.56, 1.3426
556, 0.08, 1.3498
