epoch, reward, loss
335, -0.17, 10.5226
336, -1.21, 10.4899
337, -0.20, 10.4841
338, 0.07, 10.4866
339, -1.11, 10.5019
340, 1.09, 10.4721
341, -0.27, 10.5074
342, -0.77, 10.4142
343, 1.09, 10.4950
344, -0.09, 10.4428
345, -0.93, 10.4817
346, 0.36, 10.4277
347, -0.00, 10.4872
348, -0.07, 10.4635
349, -0.58, 10.4450
350, -0.50, 10.4761
351, 0.13, 10.4968
352, -0.96, 10.4635
353, 0.24, 10.4857
354, -0.71, 10.4934
355, 0.10, 10.4465
356, -0.37, 10.4476
357, -0.45, 10.4172
358, 0.12, 10.4491
359, -0.55, 10.4442
360, 0.17, 10.4634
361, -0.24, 10.4509
362, -0.29, 10.4095
363, 0.24, 10.4890
364, -1.54, 10.4724
365, 0.13, 10.4481
366, -2.27, 10.4541
367, -1.62, 10.5217
368, -0.52, 10.4255
369, -0.65, 10.4391
370, 0.15, 10.4962
371, 0.49, 10.4450
372, 0.02, 10.4692
373, -1.16, 10.4378
374, -0.11, 10.4389
375, 0.42, 10.4429
376, 0.37, 10.3783
377, -0.14, 10.4322
378, -0.29, 10.5151
379, 0.57, 10.4587
380, -0.79, 10.3752
381, -0.57, 10.4770
382, 0.78, 10.4076
383, 0.67, 10.3958
384, -0.10, 10.4023
385, 0.75, 10.4010
386, -0.36, 10.3841
387, -0.17, 10.3830
388, -1.41, 10.3493
389, 0.57, 10.3786
390, 0.09, 10.3617
391, 0.50, 10.3738
392, 0.59, 10.3636
393, -0.05, 10.4150
394, -0.03, 10.4026
395, 1.17, 10.3941
396, 1.88, 10.3687
397, -0.81, 10.3577
398, 0.24, 10.4229
399, -0.26, 10.3580
400, 1.11, 10.3742
401, -0.02, 10.4144
402, 0.63, 10.3321
403, -0.01, 10.3709
404, -0.05, 10.3313
405, -0.66, 10.3190
406, 0.41, 10.3954
407, -0.33, 10.3230
408, 0.05, 10.3166
409, -0.08, 10.3103
410, 0.37, 10.3066
411, -0.83, 10.3729
412, -0.98, 10.3775
413, -0.04, 10.3752
414, 0.02, 10.3305
415, 1.07, 10.3089
416, 0.52, 10.3514
417, -0.79, 10.3529
418, -1.31, 10.3401
419, -0.60, 10.3426
420, 1.03, 10.3140
